Position,Lat,Lon
6043S4605W,-60.43,-46.05
6024S4523W,-60.24,-45.23
6026S4528W,-60.26,-45.28
6006S4648W,-60.06,-46.48
6004S4707W,-60.04,-47.07
6017S4623W,-60.17,-46.23
6020S4554W,-60.20,-45.54
6001S4623W,-60.01,-46.23
6025S4542W,-60.25,-45.42
6008S4719W,-60.08,-47.19
6020S4638W,-60.20,-46.38
6004S4632W,-60.04,-46.32
6018S4630W,-60.18,-46.30
6013S4612W,-60.13,-46.12
6006S4619W,-60.06,-46.19
6025S4531W,-60.25,-45.31
6014S4655W,-60.14,-46.55
6005S4650W,-60.05,-46.50
6008S4613W,-60.08,-46.13
6018S4641W,-60.18,-46.41
6018S4602W,-60.18,-46.02
6005S4639W,-60.05,-46.39
6022S4553W,-60.22,-45.53
5958S4526W,-59.58,-45.26
6014S4632W,-60.14,-46.32
6036S4519W,-60.36,-45.19
6013S4647W,-60.13,-46.47
6016S4612W,-60.16,-46.12
6004S4544W,-60.04,-45.44
6021S4558W,-60.21,-45.58
6016S4612W,-60.16,-46.12
6020S4638W,-60.20,-46.38
6020S4556W,-60.20,-45.56
6010S4547W,-60.10,-45.47
6007S4548W,-60.07,-45.48
6018S468W,-60.18,-46.8W
6040S4534W,-60.40,-45.34
6014S4622W,-60.14,-46.22
5958S4501W,-59.58,-45.01
5956S4501W,-59.56,-45.01
6021S4532W,-60.21,-45.32
6017S4605W,-60.17,-46.05
6016S4614W,-60.16,-46.14
6020S4535W,-60.20,-45.35
5959S4648W,-59.59,-46.48
6016S4630W,-60.16,-46.30
6028S4517W,-60.28,-45.17
5957S4523W,-59.57,-45.23
5956S4655W,-59.56,-46.55
6006S4656W,-60.06,-46.56
6018S4557W,-60.18,-45.57
6021S4628W,-60.21,-46.28
6035S4518W,-60.35,-45.18
5957S4523W,-59.57,-45.23
6008S4629W,-60.08,-46.29
6016S4612W,-60.16,-46.12
6007S4548W,-60.07,-45.48
6008S4622W,-60.08,-46.22
6005S4629W,-60.05,-46.29
6017S4605W,-60.17,-46.05
6027S4523W,-60.27,-45.23
6022S4531W,-60.22,-45.31
6020S4556W,-60.20,-45.56
6020S4638W,-60.20,-46.38
6010S4547W,-60.10,-45.47
6024S4551W,-60.24,-45.51
6009S4613W,-60.09,-46.13
6021S4532W,-60.21,-45.32
6011S4604W,-60.11,-46.04
6018S468W,-60.18,-46.8W
6020S4535W,-60.20,-45.35
6014S4622W,-60.14,-46.22
6024S4543W,-60.24,-45.43
6005S4632W,-60.05,-46.32
5958S4501W,-59.58,-45.01
6026S4600W,-60.26,-46.00
6013S4647W,-60.13,-46.47
6024S4549W,-60.24,-45.49
6034S4515W,-60.34,-45.15
6020S4558W,-60.20,-45.58
6024S4551W,-60.24,-45.51
6008S4648W,-60.08,-46.48
6007S4642W,-60.07,-46.42
5958S4526W,-59.58,-45.26
6019S4603W,-60.19,-46.03
6016S4612W,-60.16,-46.12
6017S4557W,-60.17,-45.57
6015S4608W,-60.15,-46.08
6040S4534W,-60.40,-45.34
6016S4630W,-60.16,-46.30
6023S4542W,-60.23,-45.42
6015S4611W,-60.15,-46.11
6040S4533W,-60.40,-45.33
6018S4559W,-60.18,-45.59
6013S4607W,-60.13,-46.07
6009S4622W,-60.09,-46.22
6012S4623W,-60.12,-46.23
6041S4534W,-60.41,-45.34
6004S4544W,-60.04,-45.44
6023S4523W,-60.23,-45.23
6021S4558W,-60.21,-45.58
6016S4614W,-60.16,-46.14
6021S4546W,-60.21,-45.46
6011S4549W,-60.11,-45.49
6017S4607W,-60.17,-46.07
6007S4638W,-60.07,-46.38
5956S4655W,-59.56,-46.55
6005S4657W,-60.05,-46.57
6026S4553W,-60.26,-45.53
5956S4501W,-59.56,-45.01
6005S4646W,-60.05,-46.46
6008S4648W,-60.08,-46.48
6002S4620W,-60.02,-46.20
6003S4659W,-60.03,-46.59
6008S4649W,-60.08,-46.49
6004S4628W,-60.04,-46.28
6010S4620W,-60.10,-46.20
6005S4632W,-60.05,-46.32
6007S4645W,-60.07,-46.45
6008S4639W,-60.08,-46.39
603S4543W,-60.3S,-45.43
6006S4623W,-60.06,-46.23
6013S4635W,-60.13,-46.35
6008S4711W,-60.08,-47.11
6005S4715W,-60.05,-47.15
6003S4635W,-60.03,-46.35
6034S4514W,-60.34,-45.14
6007S4708W,-60.07,-47.08
6005S4653W,-60.05,-46.53
6018S4611W,-60.18,-46.11
6006S4654W,-60.06,-46.54
6004S4656W,-60.04,-46.56
608S4649W,-60.8S,-46.49
605S4549W,-60.5S,-45.49
6043S4533W,-60.43,-45.33
6003S4635W,-60.03,-46.35
6018S467W,-60.18,-46.7W
6018S4621W,-60.18,-46.21
6004S4652W,-60.04,-46.52
6011S4546W,-60.11,-45.46
6010S4634W,-60.10,-46.34
6003S4659W,-60.03,-46.59
6009S4634W,-60.09,-46.34
608S4649W,-60.8S,-46.49
6004S4628W,-60.04,-46.28
6011S4537W,-60.11,-45.37
6020S4543W,-60.20,-45.43
6006S4639W,-60.06,-46.39
6004S4656W,-60.04,-46.56
6005S4544W,-60.05,-45.44
5955S4440W,-59.55,-44.40
6017S4512W,-60.17,-45.12
6003S4626W,-60.03,-46.26
6003S4635W,-60.03,-46.35
6002S4724W,-60.02,-47.24
6003S4542W,-60.03,-45.42
6001S4653W,-60.01,-46.53
